;Gene Symbol;Entrez;logFC;AveExpr;t;P.Value;adj.P.Val;B
16825465;SMG1P2//SMG1P5//BOLA2//SMG1//LOC101060386//RP11-345J4.5//RP11-347C12.2//SLC7A5P1//SMG1P3//LOC101060604//CTD-2547E10.2//RP11-231C14.3//RP11-345J4.8;440354;-0.2257897568;6.5036532205;-0.5860822021;0.5643944531;0.8811615036;-5.6184227013
16847719;CD79B;974;-0.2504698414;1.8412736672;-0.5860645606;0.5644060776;0.8811615036;-5.6184323623
16892918;LRRFIP1;9208;0.2489427256;4.6612783448;0.5859655909;0.564471294;0.8811615036;-5.6184865558
16661351;WDTC1;23038;-0.2228241137;3.4919555417;-0.5856591595;0.5646732431;0.8811615036;-5.6186542949
16681749;MAD2L2;10459;-0.2451035596;3.1343224468;-0.5856278274;0.5646938942;0.8811615036;-5.6186714412
16936640;CTA-384D8.35;---;-0.4477004125;2.9639410368;-0.5855018536;0.5647769277;0.8811615036;-5.6187403705
16872767;PAFAH1B3;5050;-0.2452900685;2.7091179472;-0.5854653757;0.5648009727;0.8811615036;-5.6187603276
16885428;RNU6-395P;---;0.2381248778;3.3832464743;0.5853727984;0.5648619989;0.8811615036;-5.6188109712
17113513;CT83//CXorf61;203413;0.2566512053;1.8385361358;0.5849719589;0.5651262683;0.8812091727;-5.6190301579
17020620;LMBRD1;55788;0.2362616152;3.9976097866;0.5846330706;0.5653497439;0.8812091727;-5.6192153557
17114707;LDOC1;23641;-0.2278315094;1.7342662585;-0.5844703341;0.5654570747;0.8812091727;-5.6193042522
16861961;IFNL1;282618;0.2365754811;2.0408027308;0.5843601734;0.5655297357;0.8812091727;-5.6193644152
16894335;ADAM17;6868;-0.2449114399;4.0753422277;-0.5842568672;0.56559788;0.8812091727;-5.6194208246
16889115;COQ10B;80219;0.2281465764;5.5305193609;0.5841395745;0.5656752553;0.8812091727;-5.6194848597
16879564;ABCG8;64241;0.2269134949;1.5394450201;0.5840667227;0.5657233169;0.8812091727;-5.6195246264
17041697;PPP1R18;170954;-0.2414730415;7.9837295356;-0.5840600887;0.5657276935;0.8812091727;-5.6195282473
16822089;ZNF276;92822;0.2280957189;3.0959093637;0.5839460917;0.5658029036;0.8812091727;-5.6195904631
16775056;HNRNPA1L2//MRPS31P4;144983;-0.327271876;2.2872128296;-0.5836658803;0.5659877965;0.8812091727;-5.6197433434
16941167;MANF;7873;0.2316407764;4.647058197;0.5835218992;0.5660828123;0.8812091727;-5.6198218705
16844200;MIEN1;84299;0.2406753907;3.5104244455;0.5833090866;0.5662232663;0.8812091727;-5.619937904
17112915;LL0XNC01-237H1.3;---;-0.2525061048;1.2824572768;-0.5831636239;0.5663192804;0.8812091727;-5.6200171923
16998293;GLRX;2745;-0.2329359895;1.992373915;-0.5830900033;0.5663678777;0.8812091727;-5.6200573139
16670364;FAM231D//FAM231B//LOC100996721//LOC100996741//LOC388692;644634;-0.3762849309;3.4764990041;-0.5825925922;0.5666962771;0.8812091727;-5.6203282641
16861907;MRPS12;6183;0.2301993797;2.8869636723;0.5824414574;0.5667960784;0.8812091727;-5.6204105463
16732345;RNU6-1123P;---;-0.4288080268;3.0986462378;-0.5824235436;0.5668079083;0.8812091727;-5.6204202978
16865460;KIR3DL3;115653;-0.2540094164;1.5688744667;-0.5823381653;0.5668642922;0.8812091727;-5.6204667697
16720096;RP11-326C3.10;---;-0.2988109508;1.2915228841;-0.5823275108;0.5668713286;0.8812091727;-5.6204725686
17104960;UPRT;139596;-0.2527629261;2.625349796;-0.5820631098;0.5670459585;0.8812091727;-5.6206164395
16753465;XPOT;11260;0.2204606252;5.3422793905;0.5820385342;0.5670621915;0.8812091727;-5.6206298089
16869643;GIPC1;10755;-0.2470411113;2.2379612904;-0.5819126648;0.5671453359;0.8812091727;-5.6206982745
17066246;INTS10;55174;0.2255357638;3.5174190683;0.5818663746;0.567175915;0.8812091727;-5.62072345
17055603;MIR1302-6;100302140;0.2409388431;1.9532074744;0.5817369769;0.567261399;0.8812091727;-5.6207938145
17048352;GATAD1;57798;-0.256843265;2.7159022188;-0.5816151536;0.5673418852;0.8812091727;-5.6208600464
16862926;ZNF225;7768;0.2374047578;1.6775661274;0.5815924304;0.5673568986;0.8812091727;-5.6208723989
16974940;SEPSECS;51091;-0.2193723917;3.4242023014;-0.5815219196;0.567403487;0.8812091727;-5.6209107261
16880080;ACYP2//LOC101927144;98;0.2222919973;2.5133483529;0.5815145923;0.5674083285;0.8812091727;-5.6209147087
16945254;ACAD9;28976;-0.2650829875;2.6985052335;-0.5815053567;0.5674144309;0.8812091727;-5.6209197284
17092955;CAAP1;79886;-0.2816694264;3.0243447075;-0.5814083987;0.5674784975;0.8812091727;-5.6209724226
16659054;AGTRAP//BRAF;57085;-0.2825606404;2.636352703;-0.5813471691;0.567518958;0.8812091727;-5.621005695
16850996;SLC35G4P//RP11-677O4.3;646000;-0.2291173041;1.3755075981;-0.5811981826;0.5676174142;0.8812091727;-5.6210866406
17101737;CA5B;11238;0.2651678178;1.515687085;0.5810592414;0.56770924;0.8812091727;-5.6211621105
17090373;ABL1;25;-0.2321864348;3.5675966262;-0.5810556251;0.5677116302;0.8812091727;-5.6211640746
16821396;MIR3182;100422853;0.2367605668;2.7646664757;0.5807951914;0.5678837711;0.8812343719;-5.621305489
17090881;LINC00094;266655;0.2200582373;2.565526272;0.5804353843;0.5681216397;0.8812343719;-5.6215007621
16978969;PLA2G12A;81579;0.2469411961;1.8751528781;0.5801979109;0.5682786617;0.8812343719;-5.6216295789
16675334;TROVE2;6738;0.2589961592;4.5706098146;0.5799491006;0.5684432038;0.8812343719;-5.621764491
16999421;MARCH3;115123;0.257792043;1.2285690205;0.5799037965;0.5684731667;0.8812343719;-5.6217890501
16911283;PLCB1;23236;-0.2527277473;1.2444975268;-0.5798356246;0.5685182553;0.8812343719;-5.6218260023
16890331;AC006994.2;---;-0.246900141;1.6171045132;-0.579767997;0.5685629858;0.8812343719;-5.6218626554
16780585;GPR18;2841;-0.3243732715;3.2137889966;-0.579749946;0.5685749254;0.8812343719;-5.621872438
16664272;UQCRH//UQCRHL;7388;-0.2471298482;4.4159235802;-0.5797104546;0.5686010471;0.8812343719;-5.6218938392
16846378;GNGT2;2793;-0.2692248195;1.3931015709;-0.5796573921;0.5686361463;0.8812343719;-5.6219225925
16849970;ARHGDIA;396;0.2299625601;7.1036207357;0.5794774078;0.5687552088;0.8812343719;-5.6220201031
16709108;MXI1;4601;-0.2142401412;3.2035663493;-0.5794610985;0.5687659983;0.8812343719;-5.6220289376
17002155;MED7;9443;-0.2233914884;3.3838473118;-0.5793553754;0.5688359425;0.8812343719;-5.6220862003
16817666;MAZ;4150;-0.3001276427;4.4093736161;-0.5791490007;0.5689724883;0.8812343719;-5.6221979498
16743262;SLC36A4;120103;0.2252323678;1.7203306043;0.5790373097;0.5690463947;0.8812343719;-5.6222584132
16818017;PHKG2//RP11-2C24.4;5261;-0.2564956718;3.1944157932;-0.5789537437;0.5691016938;0.8812343719;-5.6223036438
16865852;GALP;85569;0.2242529832;1.1838968602;0.5788997254;0.5691374415;0.8812343719;-5.6223328783
16822953;NTHL1;4913;-0.21402127;3.2117196391;-0.5786880056;0.5692775623;0.8813229326;-5.6224474347
16832820;LRRC37BP1;147172;-0.2489040025;3.0914813167;-0.5785140591;0.5693926972;0.8813727914;-5.6225415227
16981979;IRF2;3660;-0.2338380526;5.6738743826;-0.5782266942;0.5695829298;0.8815388638;-5.6226968991
16840685;ZBTB4;57659;0.2689010349;4.1234527323;0.5774291149;0.5701110899;0.8821823919;-5.6231277555
16680874;TP73-AS1;57212;0.2245155087;1.4987558917;0.5773481197;0.5701647393;0.8821823919;-5.6231714775
16893392;PPP1R7;5510;-0.2232490849;4.5921465531;-0.5770135604;0.5703863713;0.8823081424;-5.623352013
16823041;MIR3180-4//MIR3180-5;100500852;-0.3088957493;2.617254967;-0.576974805;0.570412048;0.8823081424;-5.6233729197
16693810;RP11-61L14.6;---;-0.2362382433;2.5485736637;-0.5766585189;0.5706216203;0.8824655039;-5.6235434908
16965338;MED28;80306;0.333528894;5.0824189253;0.5765352903;0.5707032827;0.8824655039;-5.6236099228
17117535;LOC100507548;100507548;-0.249053044;1.6522372229;-0.5762226108;0.5709105192;0.8824655039;-5.6237784255
16782104;TRAJ9;---;0.3467396673;2.8194723381;0.576190616;0.5709317268;0.8824655039;-5.6237956625
17077826;MYBL1;4603;-0.4606383879;2.3429896576;-0.5761072633;0.5709869785;0.8824655039;-5.6238405639
16727351;RAB1B;81876;0.2601976097;5.4231744109;0.576069555;0.571011975;0.8824655039;-5.623860875
16740698;RP11-867G23.2;---;0.2250540519;4.2994863866;0.575679411;0.5712706308;0.8826287776;-5.6240709459
16826212;C16orf87;388272;0.2189473325;4.5638334944;0.5756596724;0.5712837186;0.8826287776;-5.6240815703
16907303;TMEM237;65062;0.2432298004;1.4855557997;0.5754506391;0.5714223288;0.882657704;-5.624194063
